Aal;Kcal,KiloCalorie,213;Kjoule,KiloJoule,893;Water,Gram,66.2;Eiwit,Gram,16;Koolhydraten,Gram,0;Suikers,Gram,0;Vet,Gram,16.8;Verzadigd vet,Gram,4;Enkelvoudig onverzadigd vet,Gram,11.5;Meervoudig onverzadigd vet,Gram,1;Cholesterol,MilliGram,220;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0.44;Vitamine B1,MilliGram,0.1;Vitamine B2,MilliGram,0.35;Vitamine B6,MilliGram,0.16;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0.8;Vitamine C,MilliGram,2.2;Vitamine D,MicroGram,0;Natrium,MilliGram,100;Kalium,MilliGram,240;Calcium,MilliGram,20;Fosfor,MilliGram,200;IJzer,MilliGram,1;Magnesium,MilliGram,20;Koper,MilliGram,0.08;Zink,MilliGram,1.2
Aardbei, vers;Kcal,KiloCalorie,36;Kjoule,KiloJoule,154;Water,Gram,89.3;Eiwit,Gram,0.8;Koolhydraten,Gram,6.5;Suikers,Gram,5.4;Vet,Gram,0.4;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.03;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.06;Vitamine B11,MicroGram,65;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,64;Vitamine D,MicroGram,0;Natrium,MilliGram,2;Kalium,MilliGram,150;Calcium,MilliGram,25;Fosfor,MilliGram,30;IJzer,MilliGram,0.9;Magnesium,MilliGram,15;Koper,MilliGram,0.12;Zink,MilliGram,0.12
Aardpeer (topinamboer);Kcal,KiloCalorie,81;Kjoule,KiloJoule,343;Water,Gram,78.9;Eiwit,Gram,2.5;Koolhydraten,Gram,17.5;Suikers,Gram,0;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,18;Vitamine A,MilliGram,1;Vitamine B1,MilliGram,0.2;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.07;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,5;Vitamine D,MicroGram,0;Natrium,MilliGram,4;Kalium,MilliGram,400;Calcium,MilliGram,15;Fosfor,MilliGram,80;IJzer,MilliGram,3;Magnesium,MilliGram,13;Koper,MilliGram,0.12;Zink,MilliGram,0.11
Abrikoos, blik;Kcal,KiloCalorie,74;Kjoule,KiloJoule,310;Water,Gram,80.3;Eiwit,Gram,0.5;Koolhydraten,Gram,17;Suikers,Gram,16;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1.1;Vitamine A,MilliGram,0.1;Vitamine B1,MilliGram,0.02;Vitamine B2,MilliGram,0.02;Vitamine B6,MilliGram,0.05;Vitamine B11,MicroGram,1;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,4;Vitamine D,MicroGram,0;Natrium,MilliGram,13;Kalium,MilliGram,196;Calcium,MilliGram,11;Fosfor,MilliGram,15;IJzer,MilliGram,0.7;Magnesium,MilliGram,5;Koper,MilliGram,0.05;Zink,MilliGram,0.1
Abrikoos,vers;Kcal,KiloCalorie,60;Kjoule,KiloJoule,252;Water,Gram,83.4;Eiwit,Gram,1.4;Koolhydraten,Gram,11.5;Suikers,Gram,7.7;Vet,Gram,0.4;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.3;Vitamine A,MilliGram,0.18;Vitamine B1,MilliGram,0.06;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.06;Vitamine B11,MicroGram,4;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,9;Vitamine D,MicroGram,0;Natrium,MilliGram,0;Kalium,MilliGram,280;Calcium,MilliGram,16;Fosfor,MilliGram,20;IJzer,MilliGram,0.5;Magnesium,MilliGram,10;Koper,MilliGram,0;Zink,MilliGram,0
Abrikozen, gedroogd;Kcal,KiloCalorie,274;Kjoule,KiloJoule,1151;Water,Gram,26.9;Eiwit,Gram,5;Koolhydraten,Gram,58.5;Suikers,Gram,55.8;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,8.5;Vitamine A,MilliGram,0.18;Vitamine B1,MilliGram,0.17;Vitamine B2,MilliGram,0.12;Vitamine B6,MilliGram,0.17;Vitamine B11,MicroGram,7;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,10;Vitamine D,MicroGram,0;Natrium,MilliGram,10;Kalium,MilliGram,1400;Calcium,MilliGram,80;Fosfor,MilliGram,110;IJzer,MilliGram,4.4;Magnesium,MilliGram,60;Koper,MilliGram,0.8;Zink,MilliGram,0.4
Achterham;Kcal,KiloCalorie,129;Kjoule,KiloJoule,542;Water,Gram,72.6;Eiwit,Gram,18.2;Koolhydraten,Gram,1.7;Suikers,Gram,0;Vet,Gram,5.5;Verzadigd vet,Gram,2.1;Enkelvoudig onverzadigd vet,Gram,0.1;Meervoudig onverzadigd vet,Gram,2.8;Cholesterol,MilliGram,38;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.62;Vitamine B2,MilliGram,0.21;Vitamine B6,MilliGram,0.36;Vitamine B11,MicroGram,5;Vitamine B12,MicroGram,0.5;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0.1;Natrium,MilliGram,900;Kalium,MilliGram,300;Calcium,MilliGram,15;Fosfor,MilliGram,140;IJzer,MilliGram,0.7;Magnesium,MilliGram,20;Koper,MilliGram,0;Zink,MilliGram,1.6
Achterham, gegrild;Kcal,KiloCalorie,116;Kjoule,KiloJoule,488;Water,Gram,75.1;Eiwit,Gram,19.2;Koolhydraten,Gram,0.6;Suikers,Gram,0;Vet,Gram,4.1;Verzadigd vet,Gram,1.6;Enkelvoudig onverzadigd vet,Gram,1.8;Meervoudig onverzadigd vet,Gram,0.3;Cholesterol,MilliGram,38;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.54;Vitamine B2,MilliGram,0.2;Vitamine B6,MilliGram,0.36;Vitamine B11,MicroGram,5;Vitamine B12,MicroGram,0.5;Vitamine C,MilliGram,0;Vitamine D,MicroGram,1;Natrium,MilliGram,950;Kalium,MilliGram,300;Calcium,MilliGram,5;Fosfor,MilliGram,260;IJzer,MilliGram,0.7;Magnesium,MilliGram,20;Koper,MilliGram,0.05;Zink,MilliGram,1.6
Adukibonen, gekookt;Kcal,KiloCalorie,131;Kjoule,KiloJoule,548;Water,Gram,65.9;Eiwit,Gram,7.2;Koolhydraten,Gram,24.8;Suikers,Gram,0;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0.01;Vitamine B1,MilliGram,0.03;Vitamine B2,MilliGram,0.03;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,8;Kalium,MilliGram,410;Calcium,MilliGram,30;Fosfor,MilliGram,0;IJzer,MilliGram,1.8;Magnesium,MilliGram,50;Koper,MilliGram,0;Zink,MilliGram,0.8
Advocaat, 14 % v/v;Kcal,KiloCalorie,240;Kjoule,KiloJoule,1006;Water,Gram,54.5;Eiwit,Gram,3.8;Koolhydraten,Gram,24.5;Suikers,Gram,24.5;Vet,Gram,3.2;Verzadigd vet,Gram,1.1;Enkelvoudig onverzadigd vet,Gram,2.1;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,150;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0.07;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0.11;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0.8;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,40;Kalium,MilliGram,47;Calcium,MilliGram,20;Fosfor,MilliGram,65;IJzer,MilliGram,0.6;Magnesium,MilliGram,4;Koper,MilliGram,0.1;Zink,MilliGram,0.4
Agar-agar, poeder;Kcal,KiloCalorie,365;Kjoule,KiloJoule,1529;Water,Gram,4.6;Eiwit,Gram,6;Koolhydraten,Gram,80;Suikers,Gram,0;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,8.4;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.01;Vitamine B2,MilliGram,0.22;Vitamine B6,MilliGram,0.3;Vitamine B11,MicroGram,580;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,100;Kalium,MilliGram,1100;Calcium,MilliGram,600;Fosfor,MilliGram,50;IJzer,MilliGram,20;Magnesium,MilliGram,750;Koper,MilliGram,0.6;Zink,MilliGram,5.5
