Aal;Kcal,KiloCalorie,213;Kjoule,KiloJoule,893;Water,Gram,66.2;Eiwit,Gram,16;Koolhydraten,Gram,0;Suikers,Gram,0;Vet,Gram,16.8;Verzadigd vet,Gram,4;Enkelvoudig onverzadigd vet,Gram,11.5;Meervoudig onverzadigd vet,Gram,1;Cholesterol,MilliGram,220;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0.44;Vitamine B1,MilliGram,0.1;Vitamine B2,MilliGram,0.35;Vitamine B6,MilliGram,0.16;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0.8;Vitamine C,MilliGram,2.2;Vitamine D,MicroGram,0;Natrium,MilliGram,100;Kalium,MilliGram,240;Calcium,MilliGram,20;Fosfor,MilliGram,200;IJzer,MilliGram,1;Magnesium,MilliGram,20;Koper,MilliGram,0.08;Zink,MilliGram,1.2
Ahornsiroop;Kcal,KiloCalorie,365;Kjoule,KiloJoule,1530;Water,Gram,9;Eiwit,Gram,0;Koolhydraten,Gram,90;Suikers,Gram,89;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,15;Kalium,MilliGram,250;Calcium,MilliGram,140;Fosfor,MilliGram,0;IJzer,MilliGram,1.2;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Alaska pollak;Kcal,KiloCalorie,75;Kjoule,KiloJoule,314;Water,Gram,81.5;Eiwit,Gram,16.7;Koolhydraten,Gram,0;Suikers,Gram,0;Vet,Gram,0.8;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0.1;Cholesterol,MilliGram,80;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.17;Vitamine B2,MilliGram,0.17;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,3;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,0;Kalium,MilliGram,428;Calcium,MilliGram,8;Fosfor,MilliGram,376;IJzer,MilliGram,0.2;Magnesium,MilliGram,40;Koper,MilliGram,0;Zink,MilliGram,0.3
Alfalfa;Kcal,KiloCalorie,43;Kjoule,KiloJoule,181;Water,Gram,87.9;Eiwit,Gram,4.1;Koolhydraten,Gram,3.9;Suikers,Gram,0;Vet,Gram,0.7;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.4;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,8;Vitamine D,MicroGram,0;Natrium,MilliGram,6;Kalium,MilliGram,0;Calcium,MilliGram,32;Fosfor,MilliGram,0;IJzer,MilliGram,1;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Amandelbroodje;Kcal,KiloCalorie,490;Kjoule,KiloJoule,2054;Water,Gram,9.6;Eiwit,Gram,7.6;Koolhydraten,Gram,50.7;Suikers,Gram,28.5;Vet,Gram,28.1;Verzadigd vet,Gram,11.8;Enkelvoudig onverzadigd vet,Gram,8.6;Meervoudig onverzadigd vet,Gram,3.2;Cholesterol,MilliGram,30;Voedingsvezel,Gram,3;Vitamine A,MilliGram,0.2;Vitamine B1,MilliGram,0.07;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.15;Vitamine B11,MicroGram,18;Vitamine B12,MicroGram,0.2;Vitamine C,MilliGram,2;Vitamine D,MicroGram,1.4;Natrium,MilliGram,320;Kalium,MilliGram,210;Calcium,MilliGram,120;Fosfor,MilliGram,160;IJzer,MilliGram,1.6;Magnesium,MilliGram,45;Koper,MilliGram,0.3;Zink,MilliGram,1
Amandelen;Kcal,KiloCalorie,609;Kjoule,KiloJoule,2548;Water,Gram,6;Eiwit,Gram,19.5;Koolhydraten,Gram,10.4;Suikers,Gram,3.1;Vet,Gram,52;Verzadigd vet,Gram,3.8;Enkelvoudig onverzadigd vet,Gram,34.5;Meervoudig onverzadigd vet,Gram,12;Cholesterol,MilliGram,0;Voedingsvezel,Gram,10.6;Vitamine A,MilliGram,0.02;Vitamine B1,MilliGram,0.22;Vitamine B2,MilliGram,0.6;Vitamine B6,MilliGram,0.06;Vitamine B11,MicroGram,30;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,5;Kalium,MilliGram,850;Calcium,MilliGram,250;Fosfor,MilliGram,450;IJzer,MilliGram,4.1;Magnesium,MilliGram,150;Koper,MilliGram,0.8;Zink,MilliGram,2.1
Amandelmeel;Kcal,KiloCalorie,632;Kjoule,KiloJoule,2644;Water,Gram,1;Eiwit,Gram,21.5;Koolhydraten,Gram,15.5;Suikers,Gram,4.5;Vet,Gram,51.5;Verzadigd vet,Gram,4.2;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,10.5;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,28;Kalium,MilliGram,0;Calcium,MilliGram,240;Fosfor,MilliGram,0;IJzer,MilliGram,8.5;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Amandelmelk ;Kcal,KiloCalorie,53;Kjoule,KiloJoule,222;Water,Gram,88.9;Eiwit,Gram,3;Koolhydraten,Gram,3.5;Suikers,Gram,2.8;Vet,Gram,2.8;Verzadigd vet,Gram,0.1;Enkelvoudig onverzadigd vet,Gram,2;Meervoudig onverzadigd vet,Gram,0.5;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0.8;Vitamine A,MilliGram,20;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0.01;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,1.1;Vitamine C,MilliGram,0;Vitamine D,MicroGram,2.5;Natrium,MilliGram,50;Kalium,MilliGram,52;Calcium,MilliGram,40;Fosfor,MilliGram,10;IJzer,MilliGram,0.3;Magnesium,MilliGram,5;Koper,MilliGram,0;Zink,MilliGram,0.05
Amandelolie;Kcal,KiloCalorie,882;Kjoule,KiloJoule,3693;Water,Gram,0.2;Eiwit,Gram,0;Koolhydraten,Gram,0;Suikers,Gram,0;Vet,Gram,99.8;Verzadigd vet,Gram,8.5;Enkelvoudig onverzadigd vet,Gram,61.5;Meervoudig onverzadigd vet,Gram,26.5;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,0;Kalium,MilliGram,0;Calcium,MilliGram,0;Fosfor,MilliGram,0;IJzer,MilliGram,0;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Amandelspijs;Kcal,KiloCalorie,458;Kjoule,KiloJoule,1916;Water,Gram,13.1;Eiwit,Gram,10;Koolhydraten,Gram,47.5;Suikers,Gram,43;Vet,Gram,24.5;Verzadigd vet,Gram,2;Enkelvoudig onverzadigd vet,Gram,14.5;Meervoudig onverzadigd vet,Gram,4.5;Cholesterol,MilliGram,35;Voedingsvezel,Gram,3.9;Vitamine A,MilliGram,0.02;Vitamine B1,MilliGram,0.06;Vitamine B2,MilliGram,0.2;Vitamine B6,MilliGram,0.06;Vitamine B11,MicroGram,20;Vitamine B12,MicroGram,0.2;Vitamine C,MilliGram,2.8;Vitamine D,MicroGram,0.1;Natrium,MilliGram,20;Kalium,MilliGram,400;Calcium,MilliGram,110;Fosfor,MilliGram,270;IJzer,MilliGram,2;Magnesium,MilliGram,120;Koper,MilliGram,0.3;Zink,MilliGram,1.5
Amsoi;Kcal,KiloCalorie,31;Kjoule,KiloJoule,132;Water,Gram,90.6;Eiwit,Gram,2;Koolhydraten,Gram,5.3;Suikers,Gram,0;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1.1;Vitamine A,MilliGram,0.15;Vitamine B1,MilliGram,0.01;Vitamine B2,MilliGram,0.2;Vitamine B6,MilliGram,0.15;Vitamine B11,MicroGram,50;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,15;Vitamine D,MicroGram,0;Natrium,MilliGram,20;Kalium,MilliGram,300;Calcium,MilliGram,150;Fosfor,MilliGram,15;IJzer,MilliGram,1.4;Magnesium,MilliGram,30;Koper,MilliGram,0.02;Zink,MilliGram,0.2
Ananas, vers;Kcal,KiloCalorie,61;Kjoule,KiloJoule,256;Water,Gram,83.4;Eiwit,Gram,0.5;Koolhydraten,Gram,13.5;Suikers,Gram,12.4;Vet,Gram,0.2;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1.4;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.06;Vitamine B2,MilliGram,0.02;Vitamine B6,MilliGram,0.08;Vitamine B11,MicroGram,4;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,23;Vitamine D,MicroGram,0;Natrium,MilliGram,2;Kalium,MilliGram,170;Calcium,MilliGram,16;Fosfor,MilliGram,9;IJzer,MilliGram,0.4;Magnesium,MilliGram,20;Koper,MilliGram,0.1;Zink,MilliGram,0.1
Ananassap;Kcal,KiloCalorie,50;Kjoule,KiloJoule,211;Water,Gram,86.4;Eiwit,Gram,0.8;Koolhydraten,Gram,11.5;Suikers,Gram,11.5;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0.3;Vitamine A,MilliGram,0.02;Vitamine B1,MilliGram,0.05;Vitamine B2,MilliGram,0.02;Vitamine B6,MilliGram,0.08;Vitamine B11,MicroGram,10;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,20;Vitamine D,MicroGram,0;Natrium,MilliGram,1;Kalium,MilliGram,150;Calcium,MilliGram,20;Fosfor,MilliGram,10;IJzer,MilliGram,0.3;Magnesium,MilliGram,10;Koper,MilliGram,0.1;Zink,MilliGram,0.1
Andijvie, rauw;Kcal,KiloCalorie,16;Kjoule,KiloJoule,70;Water,Gram,93;Eiwit,Gram,1.5;Koolhydraten,Gram,1;Suikers,Gram,0;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,3.5;Vitamine A,MilliGram,0.4;Vitamine B1,MilliGram,0.05;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.04;Vitamine B11,MicroGram,50;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,25;Kalium,MilliGram,300;Calcium,MilliGram,60;Fosfor,MilliGram,70;IJzer,MilliGram,0.4;Magnesium,MilliGram,10;Koper,MilliGram,0.05;Zink,MilliGram,0.3
Anijszaad;Kcal,KiloCalorie,425;Kjoule,KiloJoule,1780;Water,Gram,4;Eiwit,Gram,10;Koolhydraten,Gram,55;Suikers,Gram,0;Vet,Gram,15;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,5;Cholesterol,MilliGram,0;Voedingsvezel,Gram,15;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,0;Kalium,MilliGram,0;Calcium,MilliGram,0;Fosfor,MilliGram,0;IJzer,MilliGram,0;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Ansjovis, vers;Kcal,KiloCalorie,102;Kjoule,KiloJoule,427;Water,Gram,76.6;Eiwit,Gram,20.1;Koolhydraten,Gram,0;Suikers,Gram,0;Vet,Gram,2.3;Verzadigd vet,Gram,0.8;Enkelvoudig onverzadigd vet,Gram,0.4;Meervoudig onverzadigd vet,Gram,0.6;Cholesterol,MilliGram,68;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0.05;Vitamine B1,MilliGram,0.02;Vitamine B2,MilliGram,0.2;Vitamine B6,MilliGram,0.5;Vitamine B11,MicroGram,10;Vitamine B12,MicroGram,0.9;Vitamine C,MilliGram,0;Vitamine D,MicroGram,3;Natrium,MilliGram,148;Kalium,MilliGram,278;Calcium,MilliGram,82;Fosfor,MilliGram,233;IJzer,MilliGram,4.3;Magnesium,MilliGram,40;Koper,MilliGram,0.2;Zink,MilliGram,1.4
Appel;Kcal,KiloCalorie,54;Kjoule,KiloJoule,229;Water,Gram,84.3;Eiwit,Gram,0.4;Koolhydraten,Gram,12;Suikers,Gram,11.8;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.3;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.02;Vitamine B2,MilliGram,0.01;Vitamine B6,MilliGram,0.05;Vitamine B11,MicroGram,3;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,10;Vitamine D,MicroGram,0;Natrium,MilliGram,2;Kalium,MilliGram,120;Calcium,MilliGram,4;Fosfor,MilliGram,10;IJzer,MilliGram,0.2;Magnesium,MilliGram,5;Koper,MilliGram,0.1;Zink,MilliGram,0.04
Appelflap;Kcal,KiloCalorie,388;Kjoule,KiloJoule,1627;Water,Gram,26.5;Eiwit,Gram,5.5;Koolhydraten,Gram,40;Suikers,Gram,23.5;Vet,Gram,22;Verzadigd vet,Gram,13.5;Enkelvoudig onverzadigd vet,Gram,5.5;Meervoudig onverzadigd vet,Gram,1.5;Cholesterol,MilliGram,50;Voedingsvezel,Gram,5;Vitamine A,MilliGram,0.02;Vitamine B1,MilliGram,0.03;Vitamine B2,MilliGram,0.02;Vitamine B6,MilliGram,0.06;Vitamine B11,MicroGram,6;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,1.5;Vitamine D,MicroGram,1.4;Natrium,MilliGram,300;Kalium,MilliGram,110;Calcium,MilliGram,15;Fosfor,MilliGram,70;IJzer,MilliGram,1;Magnesium,MilliGram,10;Koper,MilliGram,0.1;Zink,MilliGram,0.4
Appelmoes;Kcal,KiloCalorie,81;Kjoule,KiloJoule,341;Water,Gram,78.5;Eiwit,Gram,0.2;Koolhydraten,Gram,19.2;Suikers,Gram,19.2;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.02;Vitamine B2,MilliGram,0.01;Vitamine B6,MilliGram,0.05;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,2;Vitamine D,MicroGram,0;Natrium,MilliGram,3;Kalium,MilliGram,114;Calcium,MilliGram,4;Fosfor,MilliGram,7;IJzer,MilliGram,0.1;Magnesium,MilliGram,3;Koper,MilliGram,0.01;Zink,MilliGram,0.02
Appelsap;Kcal,KiloCalorie,42;Kjoule,KiloJoule,180;Water,Gram,88.4;Eiwit,Gram,0.1;Koolhydraten,Gram,10.5;Suikers,Gram,10.5;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.02;Vitamine B2,MilliGram,0.02;Vitamine B6,MilliGram,0.02;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,2;Kalium,MilliGram,110;Calcium,MilliGram,7;Fosfor,MilliGram,7;IJzer,MilliGram,0.3;Magnesium,MilliGram,4;Koper,MilliGram,0.06;Zink,MilliGram,0.12
Appelstroop, rinse;Kcal,KiloCalorie,274;Kjoule,KiloJoule,1150;Water,Gram,29.7;Eiwit,Gram,3.2;Koolhydraten,Gram,63;Suikers,Gram,52;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,3.1;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.03;Vitamine B2,MilliGram,0.1;Vitamine B6,MilliGram,0.2;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,60;Kalium,MilliGram,1000;Calcium,MilliGram,20;Fosfor,MilliGram,100;IJzer,MilliGram,14;Magnesium,MilliGram,60;Koper,MilliGram,0;Zink,MilliGram,0
Appeltaart;Kcal,KiloCalorie,248;Kjoule,KiloJoule,1041;Water,Gram,48.5;Eiwit,Gram,4.2;Koolhydraten,Gram,35;Suikers,Gram,22;Vet,Gram,9.8;Verzadigd vet,Gram,3.5;Enkelvoudig onverzadigd vet,Gram,3.5;Meervoudig onverzadigd vet,Gram,2;Cholesterol,MilliGram,50;Voedingsvezel,Gram,1.5;Vitamine A,MilliGram,0.06;Vitamine B1,MilliGram,0.03;Vitamine B2,MilliGram,0.09;Vitamine B6,MilliGram,0.05;Vitamine B11,MicroGram,5;Vitamine B12,MicroGram,0.03;Vitamine C,MilliGram,3;Vitamine D,MicroGram,0.8;Natrium,MilliGram,110;Kalium,MilliGram,105;Calcium,MilliGram,20;Fosfor,MilliGram,50;IJzer,MilliGram,0.6;Magnesium,MilliGram,10;Koper,MilliGram,0;Zink,MilliGram,0.2
Appelwijn, cider 5 % v/v;Kcal,KiloCalorie,10;Kjoule,KiloJoule,42;Water,Gram,96.5;Eiwit,Gram,0;Koolhydraten,Gram,2.5;Suikers,Gram,2.5;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,4;Kalium,MilliGram,110;Calcium,MilliGram,10;Fosfor,MilliGram,5;IJzer,MilliGram,0.8;Magnesium,MilliGram,5;Koper,MilliGram,0;Zink,MilliGram,0
Arachideolie, pindaolie;Kcal,KiloCalorie,879;Kjoule,KiloJoule,3682;Water,Gram,0.5;Eiwit,Gram,0;Koolhydraten,Gram,0;Suikers,Gram,0;Vet,Gram,99.5;Verzadigd vet,Gram,16;Enkelvoudig onverzadigd vet,Gram,53;Meervoudig onverzadigd vet,Gram,30;Cholesterol,MilliGram,1.2;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,0;Kalium,MilliGram,0;Calcium,MilliGram,0;Fosfor,MilliGram,0;IJzer,MilliGram,0.1;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Artisjok;Kcal,KiloCalorie,52;Kjoule,KiloJoule,218;Water,Gram,85.5;Eiwit,Gram,2.4;Koolhydraten,Gram,9.5;Suikers,Gram,9.4;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1.5;Vitamine A,MilliGram,0.01;Vitamine B1,MilliGram,0.14;Vitamine B2,MilliGram,0.01;Vitamine B6,MilliGram,0.03;Vitamine B11,MicroGram,50;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,7.6;Vitamine D,MicroGram,0;Natrium,MilliGram,47;Kalium,MilliGram,353;Calcium,MilliGram,53;Fosfor,MilliGram,130;IJzer,MilliGram,1.5;Magnesium,MilliGram,25;Koper,MilliGram,0.32;Zink,MilliGram,0.3
Artisjok, harten;Kcal,KiloCalorie,46;Kjoule,KiloJoule,195;Water,Gram,87.3;Eiwit,Gram,2.7;Koolhydraten,Gram,7.6;Suikers,Gram,7.5;Vet,Gram,0.3;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1.1;Vitamine A,MilliGram,0.01;Vitamine B1,MilliGram,0.05;Vitamine B2,MilliGram,0.13;Vitamine B6,MilliGram,0.09;Vitamine B11,MicroGram,50;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,6;Vitamine D,MicroGram,0;Natrium,MilliGram,50;Kalium,MilliGram,250;Calcium,MilliGram,20;Fosfor,MilliGram,60;IJzer,MilliGram,0.7;Magnesium,MilliGram,30;Koper,MilliGram,0.05;Zink,MilliGram,0.3
Asperges, blik;Kcal,KiloCalorie,22;Kjoule,KiloJoule,94;Water,Gram,93.3;Eiwit,Gram,1.9;Koolhydraten,Gram,3.2;Suikers,Gram,1.1;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0.5;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.06;Vitamine B2,MilliGram,0.08;Vitamine B6,MilliGram,0.03;Vitamine B11,MicroGram,50;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,15;Vitamine D,MicroGram,0;Natrium,MilliGram,350;Kalium,MilliGram,100;Calcium,MilliGram,20;Fosfor,MilliGram,40;IJzer,MilliGram,0.9;Magnesium,MilliGram,10;Koper,MilliGram,0.15;Zink,MilliGram,0.5
Asperges, vers;Kcal,KiloCalorie,17;Kjoule,KiloJoule,73;Water,Gram,94.1;Eiwit,Gram,1.9;Koolhydraten,Gram,1.3;Suikers,Gram,1.2;Vet,Gram,0.2;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1.5;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.11;Vitamine B2,MilliGram,0.12;Vitamine B6,MilliGram,0.06;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,20;Vitamine D,MicroGram,0;Natrium,MilliGram,4;Kalium,MilliGram,200;Calcium,MilliGram,20;Fosfor,MilliGram,50;IJzer,MilliGram,1;Magnesium,MilliGram,20;Koper,MilliGram,0.15;Zink,MilliGram,0.5
Aubergine;Kcal,KiloCalorie,25;Kjoule,KiloJoule,107;Water,Gram,91.6;Eiwit,Gram,1.2;Koolhydraten,Gram,3.5;Suikers,Gram,1.5;Vet,Gram,0.2;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.5;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.1;Vitamine B2,MilliGram,0.06;Vitamine B6,MilliGram,0.03;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,30;Vitamine D,MicroGram,0;Natrium,MilliGram,3;Kalium,MilliGram,250;Calcium,MilliGram,15;Fosfor,MilliGram,50;IJzer,MilliGram,1;Magnesium,MilliGram,20;Koper,MilliGram,0;Zink,MilliGram,0.5
Augurken, zoetzuur;Kcal,KiloCalorie,14;Kjoule,KiloJoule,62;Water,Gram,94.7;Eiwit,Gram,1.1;Koolhydraten,Gram,2;Suikers,Gram,2;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,1.2;Vitamine A,MilliGram,0.01;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0.03;Vitamine B11,MicroGram,4;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,2.2;Vitamine D,MicroGram,0;Natrium,MilliGram,350;Kalium,MilliGram,150;Calcium,MilliGram,20;Fosfor,MilliGram,25;IJzer,MilliGram,4.5;Magnesium,MilliGram,10;Koper,MilliGram,0.04;Zink,MilliGram,0.2
Avocado;Kcal,KiloCalorie,188;Kjoule,KiloJoule,790;Water,Gram,70.4;Eiwit,Gram,2.6;Koolhydraten,Gram,1.5;Suikers,Gram,1.4;Vet,Gram,18.1;Verzadigd vet,Gram,3.8;Enkelvoudig onverzadigd vet,Gram,11.3;Meervoudig onverzadigd vet,Gram,2;Cholesterol,MilliGram,0;Voedingsvezel,Gram,6.4;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.08;Vitamine B2,MilliGram,0.1;Vitamine B6,MilliGram,0.4;Vitamine B11,MicroGram,10;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,3;Vitamine D,MicroGram,0;Natrium,MilliGram,5;Kalium,MilliGram,450;Calcium,MilliGram,10;Fosfor,MilliGram,30;IJzer,MilliGram,0.4;Magnesium,MilliGram,30;Koper,MilliGram,0.4;Zink,MilliGram,0.6
Azijn;Kcal,KiloCalorie,1;Kjoule,KiloJoule,5;Water,Gram,98.5;Eiwit,Gram,0;Koolhydraten,Gram,0.5;Suikers,Gram,0.5;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,5;Kalium,MilliGram,30;Calcium,MilliGram,5;Fosfor,MilliGram,10;IJzer,MilliGram,0.1;Magnesium,MilliGram,5;Koper,MilliGram,0;Zink,MilliGram,0.1
